output_path,source_scene,source_scene_classification,status,reason
data/analysis/rayong/shorelines/2020-01-27_ndwi_fixed.geojson,S2B_MSIL2A_20200127T034019_R061_T47PPQ_20201002T124351,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-04-21_ndwi_fixed.geojson,S2B_MSIL2A_20230421T033539_R061_T47PPQ_20230421T214437,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2022-04-21_mndwi_otsu.geojson,S2A_MSIL2A_20220421T033541_R061_T47PPQ_20220421T223928,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2017-01-27_ndwi_fixed.geojson,S2A_MSIL2A_20170127T034011_R061_T47PPQ_20210207T211817,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2026-01-12.geojson,S2A_MSIL2A_20260112T034201_R061_T47PPQ_20260112T073809,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-02-20.geojson,S2B_MSIL2A_20210220T033759_R061_T47PPQ_20210220T142342,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-04-17_ndwi_fixed.geojson,S2A_MSIL2A_20190417T033541_R061_T47PPQ_20201007T030428,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-03-26.geojson,S2C_MSIL2A_20250326T033601_R061_T47PPQ_20250326T085914,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-02-21_mndwi_fixed.geojson,S2B_MSIL2A_20190221T033749_R061_T47PPQ_20201007T191151,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-12-03_ndwi_fixed.geojson,S2A_MSIL2A_20251203T034201_R061_T47PPQ_20251203T073813,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-03-07_mndwi_fixed.geojson,S2A_MSIL2A_20230307T033611_R061_T47PPQ_20230307T092426,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2020-01-07_ndwi_fixed.geojson,S2B_MSIL2A_20200107T034129_R061_T47PPQ_20201029T120132,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-02-15_mndwi_fixed.geojson,S2B_MSIL2A_20240215T033839_R061_T47PPQ_20240215T081416,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-02-15_mndwi_otsu.geojson,S2B_MSIL2A_20240215T033839_R061_T47PPQ_20240215T081416,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-04-17_ndwi_otsu.geojson,S2A_MSIL2A_20190417T033541_R061_T47PPQ_20201007T030428,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-01-16_ndwi_otsu.geojson,S2A_MSIL2A_20230116T034101_R061_T47PPQ_20230116T130750,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-01-31_ndwi_fixed.geojson,S2B_MSIL2A_20210131T033959_R061_T47PPQ_20210202T120414,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2026-04-12_mndwi_otsu.geojson,S2A_MSIL2A_20260412T034201_R061_T47PPQ_20260412T083214,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2022-01-31_ndwi_otsu.geojson,S2A_MSIL2A_20220131T034001_R061_T47PPQ_20220216T134036,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-12-01.geojson,S2C_47PPQ_20251201_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-03-01_ndwi_fixed.geojson,S2B_MSIL2A_20250301T033559_R061_T47PPQ_20250301T061709,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-04-21.geojson,S2B_MSIL2A_20230421T033539_R061_T47PPQ_20230421T214437,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2018-03-08.geojson,S2B_MSIL2A_20180308T033559_R061_T47PPQ_20201013T080519,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2017-02-26.geojson,S2A_MSIL2A_20170226T033711_R061_T47PPQ_20210208T171545,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2018-03-08_mndwi_otsu.geojson,S2B_MSIL2A_20180308T033559_R061_T47PPQ_20201013T080519,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-12-01_mndwi_fixed.geojson,S2C_47PPQ_20251201_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2026-04-12.geojson,S2A_MSIL2A_20260412T034201_R061_T47PPQ_20260412T083214,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-01-16_mndwi_otsu.geojson,S2A_MSIL2A_20230116T034101_R061_T47PPQ_20230116T130750,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-03-23_mndwi_otsu.geojson,S2B_MSIL2A_20190323T033719_R061_T47PPQ_20201007T094741,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2018-03-03_mndwi_fixed.geojson,S2A_MSIL2A_20180303T033641_R061_T47PPQ_20201013T055010,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-01-01_mndwi_fixed.geojson,S2B_MSIL2A_20210101T034139_R061_T47PPQ_20210101T215221,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2022-01-06_ndwi_fixed.geojson,S2B_MSIL2A_20220106T034129_R061_T47PPQ_20220107T070715,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-04-20.geojson,S2A_MSIL2A_20240420T033541_R061_T47PPQ_20240420T101520,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-02-20_mndwi_otsu.geojson,S2B_MSIL2A_20210220T033759_R061_T47PPQ_20210220T142342,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-12-01_ndwi_otsu.geojson,S2C_47PPQ_20251201_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-12-03_mndwi_fixed.geojson,S2A_MSIL2A_20251203T034201_R061_T47PPQ_20251203T073813,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-04-20_ndwi_fixed.geojson,S2B_MSIL2A_20250420T033539_R061_T47PPQ_20250420T071841,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-04-20_mndwi_otsu.geojson,S2A_MSIL2A_20240420T033541_R061_T47PPQ_20240420T101520,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-12-27.geojson,S2B_47PPQ_20211227_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2017-02-26_mndwi_otsu.geojson,S2A_MSIL2A_20170226T033711_R061_T47PPQ_20210208T171545,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
